date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:06	26164/26164	---M--	200	added ('OK')	font/woff2	date:Mon,%2029%20Jan%202024%2012:09:39%20GMT	https://responsimart.com/cdn/fonts/inter/inter_n6.e443e28dc0f8869f8e2f4fa978e895a4a075406f.woff?h1=M2E3YzFkLTIuYWNjb3VudC5teXNob3BpZnkuY29t&h2=cmVzcG9uc2ltYXJ0LmNvbQ&hmac=66ba428d250d565cdd3697536400b28fd26e1a5e257bbc21bc9c14b09ef98149	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/fonts/inter/inter_n6.e443e28dc0f8869f8e2f4fa978e895a4a075406f96ae.woff	(from https://responsimart.com/)
14:48:07	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202024%2017:48:06%20GMT	http://responsimart.com/cdn/fonts/inter/inter_n7.50ef4139896edec0637fde057914fbf7e3a8d56e.woff2?h1=M2E3YzFkLTIuYWNjb3VudC5teXNob3BpZnkuY29t&h2=cmVzcG9uc2ltYXJ0LmNvbQ&hmac=c6a7a8035ff0fe5b4374c490879f902a408e3c6044decaac4e7667efb56f6d7e	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/fonts/inter/inter_n7.50ef4139896edec0637fde057914fbf7e3a8d56e9f98.woff2	(from https://responsimart.com/)
14:48:07	24392/24392	---M--	200	added ('OK')	font/woff2	date:Sun,%2021%20Jan%202024%2018:37:57%20GMT	https://responsimart.com/cdn/fonts/inter/inter_n4.5a356a4c1877691cd26008ee4a5c7ada675c80ce.woff?h1=M2E3YzFkLTIuYWNjb3VudC5teXNob3BpZnkuY29t&h2=cmVzcG9uc2ltYXJ0LmNvbQ&hmac=432737c2462c851c833295e05f51cc4ab854825302fb9e5d58ca0abbed9b5d8a	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/fonts/inter/inter_n4.5a356a4c1877691cd26008ee4a5c7ada675c80ce604e.woff	(from https://responsimart.com/)
14:49:11	0/0	---M--	200	added ('OK')	application/javascript	date:Tue,%2012%20Mar%202024%2017:49:10%20GMT	https://shop.app/checkouts/internal/preloads.js?locale=pt-BR&shop_id=85620392255	C:/Meus%20Sites/site%20de%20vendas/shop.app/checkouts/internal/preloads.14e97d.delayed	(from https://responsimart.com/)
14:49:11	1922/1922	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2012%20Mar%202024%2015:44:33%20GMT	https://cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	C:/Meus%20Sites/site%20de%20vendas/cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	(from https://responsimart.com/)
14:49:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202024%2017:49:18%20GMT	http://responsimart.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-ff40b52654bbbc620eacf0b8fe273674fae033bb16a385571661d73b97ffccb1.js	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-ff40b52654bbbc620eacf0b8fe273674fae033bb16a385571661d73b97ffccb1.16.delayed	(from https://responsimart.com/)
14:49:19	12362/12362	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2011%20Mar%202024%2020:58:02%20GMT	https://responsimart.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-ff40b52654bbbc620eacf0b8fe273674fae033bb16a385571661d73b97ffccb1.js	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-ff40b52654bbbc620eacf0b8fe273674fae033bb16a385571661d73b97ffccb1.js	(from https://responsimart.com/)
14:49:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202024%2017:49:19%20GMT	http://responsimart.com/cdn/shopifycloud/shopify/assets/storefront/features-1c0b396bd4d054b94abae1eb6a1bd6ba47beb35525c57a217c77a862ff06d83f.js	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shopifycloud/shopify/assets/storefront/features-1c0b396bd4d054b94abae1eb6a1bd6ba47beb35525c57a217c77a862ff06d83f.js	(from https://responsimart.com/)
14:49:19	37678/37678	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2011%20Jan%202024%2023:37:16%20GMT	https://responsimart.com/cdn/shopifycloud/shopify/assets/storefront/features-1c0b396bd4d054b94abae1eb6a1bd6ba47beb35525c57a217c77a862ff06d83f.js	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shopifycloud/shopify/assets/storefront/features-1c0b396bd4d054b94abae1eb6a1bd6ba47beb35525c57a217c77a862ff06d83f.js	(from https://responsimart.com/)
14:49:20	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202024%2017:49:20%20GMT	http://responsimart.com/cdn/shop/t/5/assets/theme.min.js?v=177279398547211024971708068929	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shop/t/5/assets/theme.min.1bb6e6.delayed	(from https://responsimart.com/)
14:49:20	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/Meus%20Sites/site%20de%20vendas/code.jquery.com/jquery-3.6.0.min.js	(from https://responsimart.com/)
14:49:21	264780/264780	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2005%20Mar%202024%2017:57:12%20GMT	https://responsimart.com/cdn/shop/t/5/assets/theme.min.js?v=177279398547211024971708068929	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shop/t/5/assets/theme.minb6e6.js	(from https://responsimart.com/)
14:49:21	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202024%2017:49:21%20GMT	http://responsimart.com/cdn/shop/t/5/assets/custom.js?v=73856274714334160591708068926	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shop/t/5/assets/custom.1ed700.delayed	(from https://responsimart.com/)
14:49:22	83981/83981	---M-Z	200	added ('OK')	text/css	etag:%22619c057b-44be%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css	C:/Meus%20Sites/site%20de%20vendas/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css	(from https://responsimart.com/)
14:49:22	88/88	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2005%20Mar%202024%2017:57:12%20GMT	https://responsimart.com/cdn/shop/t/5/assets/custom.js?v=73856274714334160591708068926	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shop/t/5/assets/customd700.js	(from https://responsimart.com/)
14:49:23	129737/129737	---MCZ	404	error ('Not%20Found')	text/html	etag:%22cacheable:7979e242b794160109fd108fea52fe96%22	https://responsimart.com/POST	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/POST	(from https://responsimart.com/)
14:49:23	30054/30054	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	etag:%22cacheable:7979e242b794160109fd108fea52fe96%22	https://responsimart.com/cdn	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn	(from https://responsimart.com/)
14:49:24	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202024%2017:49:23%20GMT	http://responsimart.com/cdn/s/trekkie.storefront.d88aa5f007759294e4f3b66e32cebf97843d3efb.min.js	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/s/trekkie.storefront.d88aa5f007759294e4f3b66e32cebf97843d3efb.min.22.delayed	(from https://responsimart.com/)
14:49:25	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202024%2017:49:24%20GMT	http://responsimart.com/cdn/shopifycloud/shopify/assets/shop_events_listener-a7c63dba65ccddc484f77541dc8ca437e60e1e9e297fe1c3faebf6523a0ede9b.js	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shopifycloud/shopify/assets/shop_events_listener-a7c63dba65ccddc484f77541dc8ca437e60e1e9e297fe1c3faebf6523a0ede9b.js	(from https://responsimart.com/)
14:49:25	116783/116783	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2006%20Mar%202024%2018:43:42%20GMT	https://responsimart.com/cdn/s/trekkie.storefront.d88aa5f007759294e4f3b66e32cebf97843d3efb.min.js	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/s/trekkie.storefront.d88aa5f007759294e4f3b66e32cebf97843d3efb.min.js	(from https://responsimart.com/)
14:49:25	8290/8290	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2026%20Jan%202024%2019:51:54%20GMT	https://responsimart.com/cdn/shopifycloud/shopify/assets/shop_events_listener-a7c63dba65ccddc484f77541dc8ca437e60e1e9e297fe1c3faebf6523a0ede9b.js	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shopifycloud/shopify/assets/shop_events_listener-a7c63dba65ccddc484f77541dc8ca437e60e1e9e297fe1c3faebf6523a0ede9b.js	(from https://responsimart.com/)
14:49:25	59535/59535	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2011%20Jan%202024%2021:03:58%20GMT	https://responsimart.com/cdn/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	(from https://responsimart.com/)
14:49:27	303037/303037	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:226ac356adb42e8f032db71e1e81b4ba%22	https://responsimart.com/collections/all	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/collections/all.html	(from https://responsimart.com/)
14:49:28	129353/129353	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:a5290524a55dc5fa4047b8ace316aad6%22	https://responsimart.com/pages/rastreamento	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/pages/rastreamento.html	(from https://responsimart.com/)
14:49:29	135333/135333	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:0cbd53f3382825cc252736f4746b891d%22	https://responsimart.com/pages/duvidas-frequentes	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/pages/duvidas-frequentes.html	(from https://responsimart.com/)
14:49:29	130638/130638	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:4764dccd2a7119350e8993efa97153f0%22	https://responsimart.com/pages/contact	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/pages/contact.html	(from https://responsimart.com/)
14:49:30	130174/130174	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:96afaa430bab0fa16f8a08f4c6507dcf%22	https://responsimart.com/collections	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/collections.html	(from https://responsimart.com/)
14:49:30	194005/194005	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:8c0dadd01c352c5abd7839363bff6184%22	https://responsimart.com/collections/casa-e-cozinha	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/collections/casa-e-cozinha.html	(from https://responsimart.com/)
14:49:31	196416/196416	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:b20023c875b76217213c2e4b38318a78%22	https://responsimart.com/collections/eletronicos	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/collections/eletronicos.html	(from https://responsimart.com/)
14:49:31	190270/190270	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:d831451be7682a5f6a24ccfecdd583f2%22	https://responsimart.com/collections/ferramentas	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/collections/ferramentas.html	(from https://responsimart.com/)
14:49:32	240216/240216	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:6fc43c22013ae500fbee34164abe25cf%22	https://responsimart.com/collections/moda	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/collections/moda.html	(from https://responsimart.com/)
14:49:32	193135/193135	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:96e630caf3721374e122d9c1a95c0472%22	https://responsimart.com/collections/saude-e-beleza	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/collections/saude-e-beleza.html	(from https://responsimart.com/)
14:49:34	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202024%2017:49:32%20GMT	http://responsimart.com/cdn/shop/files/Logo_header_3_185x@2x.png?v=1708069031	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shop/files/Logo_header_3_185x@2x8327.png	(from https://responsimart.com/)
14:49:34	162598/162598	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:f067c4493d352fbc658924dcd238fcd6%22	https://responsimart.com/collections/vestuario	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/collections/vestuario.html	(from https://responsimart.com/)
14:49:34	13773/13773	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Mar%202024%2017:49:34%20GMT	https://responsimart.com/cdn/shop/files/Logo_header_3_185x@2x.png?v=1708069031	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shop/files/Logo_header_3_185x@2x8327.png	(from https://responsimart.com/)
14:49:35	131838/131838	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:09fd05af81d0feee0e06ec900147a2d5%22	https://responsimart.com/account/login	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/account/login.html	(from https://responsimart.com/)
14:49:35	130892/130892	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:c14dd6c2b53564c8e3c6864b3ccba445%22	https://responsimart.com/account/register	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/account/register.html	(from https://responsimart.com/)
14:49:35	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2012%20Mar%202024%2017:49:35%20GMT	https://responsimart.com/account	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/account	(from https://responsimart.com/)
14:49:36	131998/131998	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:cdaa5fad696a7b5d56e74206259c146d%22	https://responsimart.com/account/login?return_url=%2Faccount	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/account/login4236.html	(from https://responsimart.com/)
14:49:37	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202024%2017:49:36%20GMT	http://responsimart.com/cdn/shop/files/Aqui-voce-encontra---PC_1200x.png?v=1708069032	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shop/files/Aqui-voce-encontra---PC_1200x0c4c.png	(from https://responsimart.com/)
14:49:38	133047/133047	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:966536a0035ac61e191226af2762d778%22	https://responsimart.com/cart	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cart.html	(from https://responsimart.com/)
14:49:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202024%2017:49:37%20GMT	http://responsimart.com/cdn/shop/files/Aqui-voce-encontra---MOBILE_800x.png?v=1708069032	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shop/files/Aqui-voce-encontra---MOBILE_800x0c4c.png	(from https://responsimart.com/)
14:49:39	322022/322022	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Mar%202024%2017:49:37%20GMT	https://responsimart.com/cdn/shop/files/Aqui-voce-encontra---PC_1200x.png?v=1708069032	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shop/files/Aqui-voce-encontra---PC_1200x0c4c.png	(from https://responsimart.com/)
14:49:40	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202024%2017:49:39%20GMT	http://responsimart.com/cdn/shop/files/banner_site_com_mascote_1200x.png?v=1709846813	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shop/files/banner_site_com_mascote_1200x321a.png	(from https://responsimart.com/)
14:49:41	821709/821709	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Mar%202024%2017:49:39%20GMT	https://responsimart.com/cdn/shop/files/Aqui-voce-encontra---MOBILE_800x.png?v=1708069032	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shop/files/Aqui-voce-encontra---MOBILE_800x0c4c.png	(from https://responsimart.com/)
14:49:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202024%2017:49:41%20GMT	http://responsimart.com/cdn/shop/files/As-melhores-ofertas---Mobile_800x.png?v=1708069032	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shop/files/As-melhores-ofertas---Mobile_800x0c4c.png	(from https://responsimart.com/)
14:49:43	598913/598913	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Mar%202024%2017:49:41%20GMT	https://responsimart.com/cdn/shop/files/banner_site_com_mascote_1200x.png?v=1709846813	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shop/files/banner_site_com_mascote_1200x321a.png	(from https://responsimart.com/)
14:49:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202024%2017:49:43%20GMT	http://responsimart.com/cdn/shop/files/enviar_60x.svg?v=1708071417	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shop/files/enviar_60x8f7b.svg	(from https://responsimart.com/)
14:49:45	993948/993948	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Mar%202024%2017:49:43%20GMT	https://responsimart.com/cdn/shop/files/As-melhores-ofertas---Mobile_800x.png?v=1708069032	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shop/files/As-melhores-ofertas---Mobile_800x0c4c.png	(from https://responsimart.com/)
14:49:45	527/527	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2006%20Mar%202024%2020:39:17%20GMT	https://responsimart.com/cdn/shop/files/enviar_60x.svg?v=1708071417	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shop/files/enviar_60x8f7b.svg	(from https://responsimart.com/)
14:49:47	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202024%2017:49:46%20GMT	http://responsimart.com/cdn/shop/files/forma-de-pagamento_5_60x.svg?v=1708071449	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shop/files/forma-de-pagamento_5_60x0371.svg	(from https://responsimart.com/)
14:49:47	792/792	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2005%20Mar%202024%2017:57:11%20GMT	https://responsimart.com/cdn/shop/files/forma-de-pagamento_5_60x.svg?v=1708071449	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shop/files/forma-de-pagamento_5_60x0371.svg	(from https://responsimart.com/)
14:49:47	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202024%2017:49:46%20GMT	http://responsimart.com/cdn/shop/files/whatsapp_6_60x.svg?v=1708071375	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shop/files/whatsapp_6_60x33cc.svg	(from https://responsimart.com/)
14:49:48	1370/1370	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2001%20Mar%202024%2023:22:47%20GMT	https://responsimart.com/cdn/shop/files/whatsapp_6_60x.svg?v=1708071375	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shop/files/whatsapp_6_60x33cc.svg	(from https://responsimart.com/)
14:49:48	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202024%2017:49:47%20GMT	http://responsimart.com/cdn/shop/files/caixa-de-devolucao_3_60x.svg?v=1708071519	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shop/files/caixa-de-devolucao_3_60x2085.svg	(from https://responsimart.com/)
14:49:48	1643/1643	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2004%20Mar%202024%2009:25:58%20GMT	https://responsimart.com/cdn/shop/files/caixa-de-devolucao_3_60x.svg?v=1708071519	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shop/files/caixa-de-devolucao_3_60x2085.svg	(from https://responsimart.com/)
14:49:49	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202024%2017:49:48%20GMT	http://responsimart.com/cdn/shop/files/Criativofones_fe173dcb-ec3d-42a8-8295-81efcdb86d1c_600x.png?v=1709659685	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shop/files/Criativofones_fe173dcb-ec3d-42a8-8295-81efcdb86d1c_600x0f2e.png	(from https://responsimart.com/)
14:49:50	242626/242626	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:c352632aeb1c03997eb34c11192aa495%22	https://responsimart.com/products/fone-de-ouvido-de-conducao-ossea-brinco-bluetooth-sem-fio-fones-esportivo-celulares	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/products/fone-de-ouvido-de-conducao-ossea-brinco-bluetooth-sem-fio-fones-esportivo-celulares.html	(from https://responsimart.com/)
14:49:52	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202024%2017:49:51%20GMT	http://responsimart.com/cdn/shop/products/mockupend_600x.png?v=1707977683	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shop/products/mockupend_600x3dfc.png	(from https://responsimart.com/)
14:49:52	373833/373833	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Mar%202024%2017:49:50%20GMT	https://responsimart.com/cdn/shop/files/Criativofones_fe173dcb-ec3d-42a8-8295-81efcdb86d1c_600x.png?v=1709659685	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shop/files/Criativofones_fe173dcb-ec3d-42a8-8295-81efcdb86d1c_600x0f2e.png	(from https://responsimart.com/)
